gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
RING1	0.6017	1.453e-07	3.31e-07	0.5436	3.454e-06	7.08e-06	53.72	0.11	15.39	0.19	64
RINL	0.7165	2.802e-11	1.12e-10	0.6977	1.493e-10	5.51e-10	8.21	-0.19	7.74	0.46	64
RINT1	0.4445	0.0002339	0.000354	0.4562	0.0001517	0.00025	32.5	-0.1	12.89	0.27	64
RIOK1	0.6171	5.618e-08	1.37e-07	0.5693	9.169e-07	2.04e-06	53.99	-0.12	17.05	0.26	64
RIOK2	0.255	0.04196	0.0498	0.2332	0.06367	0.0754	33.91	-0.03	12.57	0.42	64
RIOK3	0.2227	0.07699	0.0889	0.22	0.08066	0.0944	56.98	-0.13	16.97	0.29	64
RIOX1	0.6512	5.673e-09	1.58e-08	0.4561	0.0001522	0.000251	37.55	0.11	12.58	0.28	64
RIOX2	0.8288	2.815e-17	3.65e-16	0.8799	1.063e-21	2.08e-20	20.79	-0.56	19.83	0.78	64
RIPK1	0.8198	1.197e-16	1.34e-15	0.7433	2.012e-12	9.6e-12	28.78	0.08	13.32	0.29	64
RIPK2	0.8505	5.888e-19	1.24e-17	0.8106	4.829e-16	3.63e-15	12.06	-0.16	8.81	0.61	64
RIPK3	0.7748	5.83e-14	3.75e-13	0.8871	1.727e-22	4.03e-21	5.86	-0.57	8.11	0.99	64
RIPOR1	0.6541	4.6e-09	1.3e-08	0.6731	1.109e-09	3.67e-09	9.88	-0.06	7.33	0.53	64
RIPOR2	0.795	4.377e-15	3.51e-14	0.8715	7.473e-21	1.27e-19	30.34	0.07	27.35	0.6	64
RIT1	0.3703	0.002595	0.00347	0.3333	0.007124	0.00948	27.32	-0.03	12.77	0.64	64
RITA1	0.5368	1.674e-05	2.9e-05	0.3702	0.004586	0.00624	29.84	-0.12	15.05	0.44	57
RLF	0.5952	2.136e-07	4.76e-07	0.629	2.607e-08	7.11e-08	55.44	0.18	18.86	0.25	64
RLIM	0.2225	0.07725	0.0892	0.0755	0.5532	0.58	94.67	-0.07	44.67	0.3	64
RMC1	0.6376	1.466e-08	3.85e-08	0.6321	2.127e-08	5.88e-08	47.96	-0.01	17.39	0.22	64
RMDN1	0.3763	0.002181	0.00294	0.2942	0.0183	0.0232	29.22	0	6.6	0.3	64
RMDN2	0.8243	5.839e-17	7.03e-16	0.875	3.385e-21	6.08e-20	0.98	0.02	1.07	0.98	64
RMDN3	0.7717	8.444e-14	5.29e-13	0.7792	3.375e-14	2.03e-13	15.1	-0.02	6.27	0.4	64
RMI1	0.2813	0.02434	0.0296	0.3208	0.009743	0.0128	26.15	0.04	15.29	0.28	64
RMI2	0.7628	2.391e-13	1.37e-12	0.7601	3.252e-13	1.73e-12	23.07	0.01	14.28	0.26	64
RMND1	0.5362	4.949e-06	9.18e-06	0.4392	0.0002822	0.000449	17.64	0.06	4.29	0.27	64
RMND5A	0.3879	0.001538	0.00211	0.3516	0.004392	0.00599	146.67	0.1	61.84	0.22	64
RNASE6	0.7404	3.682e-07	7.93e-07	0.6857	5.47e-06	1.09e-05	31.34	0.52	55.52	1.28	35
RNASE7	-0.0312	0.8932	0.903	0.0369	0.8737	0.884	0.01	0.04	0.04	0.21	21
RNASEH2A	0.398	0.001127	0.00157	0.3893	0.001476	0.00214	2.12	0.08	0.84	0.24	64
RNASEH2B	0.6177	5.404e-08	1.32e-07	0.7052	7.771e-11	2.97e-10	38.8	0.11	16.74	0.27	64
RNASEH2C	0.3511	0.004444	0.00581	0.3471	0.004952	0.00671	33.66	0.03	7.48	0.2	64
RNASEL	0.7039	8.685e-11	3.18e-10	0.7217	1.722e-11	7.21e-11	21.17	0.12	10.17	0.43	64
RNASET2	0.6553	4.203e-09	1.2e-08	0.7181	2.408e-11	9.88e-11	10.33	0.21	11.38	0.71	64
RNF10	0.4282	0.000416	0.00061	0.3767	0.002155	0.00306	65.28	-0.18	13.68	0.38	64
RNF11	0.3187	0.01389	0.0173	0.3469	0.007103	0.00946	57.44	0.08	18.59	0.46	59
RNF111	-0.1151	0.3649	0.391	-0.1188	0.3497	0.377	25.38	-0.04	10.7	0.24	64
RNF113A	0.5959	2.055e-07	4.59e-07	0.5847	3.921e-07	9.16e-07	47.98	0.12	11.5	0.22	64
RNF114	0.6899	2.875e-10	9.63e-10	0.6385	1.375e-08	3.91e-08	68.39	-0.01	13.93	0.22	64
RNF115	-0.0527	0.679	0.7	-0.0269	0.8327	0.846	21.52	-0.14	7.17	0.28	64
RNF121	0.3677	0.01659	0.0205	0.437	0.003808	0.00524	19.46	-0.26	6.9	0.29	42
RNF122	0.6885	3.214e-10	1.07e-09	0.7297	7.92e-12	3.47e-11	23.58	0.16	12.65	0.66	64
RNF123	0.4338	0.000342	0.000506	0.3067	0.01369	0.0176	21.68	0.11	5.16	0.19	64
RNF13	0.3983	0.001115	0.00155	0.4192	0.0005646	0.000865	35.94	0.11	22.92	0.37	64
RNF130	0.6772	8.056e-10	2.51e-09	0.704	8.595e-11	3.26e-10	20.57	-0.01	16.14	0.51	64
RNF135	0.8363	7.859e-18	1.18e-16	0.7424	2.213e-12	1.05e-11	29.96	-0.07	17.61	0.84	64
RNF138	0.5508	2.403e-06	4.64e-06	0.522	9.691e-06	1.87e-05	97.9	-0.06	35.67	0.33	64
RNF139	0.49	3.966e-05	6.57e-05	0.5078	1.841e-05	3.43e-05	58.99	0.02	17.76	0.24	64
RNF14	0.5304	6.555e-06	1.2e-05	0.4882	4.273e-05	7.56e-05	32.89	0.03	8.89	0.35	64
RNF141	0.8357	8.701e-18	1.3e-16	0.751	8.85e-13	4.43e-12	17.32	0.06	10.18	0.42	64
RNF144A	0.7826	2.783e-08	7.05e-08	0.656	1.882e-05	3.5e-05	36.39	0	39.31	0.74	35
RNF145	0.674	1.035e-09	3.18e-09	0.6934	2.151e-10	7.78e-10	59.94	-0.02	24.67	0.35	64
RNF146	0.7471	1.349e-12	6.7e-12	0.5995	1.656e-07	4.08e-07	37.12	0.08	27.36	0.4	64
RNF149	0.7447	1.74e-12	8.49e-12	0.6694	1.471e-09	4.78e-09	37.74	0	21.64	0.4	64
RNF166	0.5349	5.274e-06	9.75e-06	0.5963	1.997e-07	4.86e-07	13.85	-0.06	11.65	0.3	64
RNF167	0.6922	2.373e-10	8.09e-10	0.6987	1.364e-10	5.06e-10	72.27	0.18	24.85	0.47	64
RNF168	0.9104	1.932e-25	4.82e-23	0.8095	5.685e-16	4.23e-15	103.18	0.07	96.22	0.55	64
RNF169	0.4435	0.0002426	0.000366	0.3813	0.001881	0.00269	57.4	0.07	16.39	0.19	64
RNF170	0.581	4.82e-07	1.02e-06	0.4507	0.0001858	0.000303	12.74	0.04	3.03	0.34	64
RNF181	0.5559	1.859e-06	3.63e-06	0.5411	3.905e-06	7.95e-06	115.4	-0.12	30.54	0.29	64
RNF185	0.0953	0.4726	0.499	0.1154	0.384	0.412	38.8	0	11.79	0.26	59
RNF187	0.317	0.01069	0.0134	0.3214	0.009612	0.0126	88.49	-0.1	35.57	0.28	64
RNF19A	0.4205	0.0005404	0.00078	0.3891	0.001482	0.00215	43.11	-0.1	14.96	0.39	64
RNF19B	0.4795	0.0006492	0.000929	0.5067	0.0002786	0.000444	27.63	0.1	12.26	0.42	47
RNF2	0.4797	6.053e-05	9.83e-05	0.4866	4.566e-05	8.05e-05	38.86	0.08	13.27	0.25	64
RNF20	0.4507	0.0001859	0.000285	0.4914	3.73e-05	6.65e-05	49.78	0.02	14.54	0.11	64
RNF214	0.4104	0.0007578	0.00108	0.3707	0.002567	0.00361	22.28	0.07	6.2	0.15	64
RNF216	0.391	0.001401	0.00193	0.3853	0.001669	0.0024	47.08	-0.08	14.87	0.33	64
RNF220	0.6236	3.71e-08	9.24e-08	0.4077	0.0008264	0.00124	29.51	0.02	18.07	0.26	64
RNF24	0.2911	0.01963	0.0241	0.3604	0.003441	0.00476	19.28	0	9.96	0.52	64
RNF25	0.7236	1.432e-11	6.02e-11	0.3707	0.00257	0.00361	32.38	0	9.47	0.27	64
RNF34	0.2428	0.05319	0.0625	0.2143	0.089	0.104	41.44	-0.09	8.62	0.15	64
RNF4	0.3829	0.001793	0.00244	0.3527	0.004251	0.0058	61.13	-0.03	15.69	0.29	64
RNF40	0.3186	0.01029	0.0129	0.158	0.2125	0.235	70.6	0.01	18.01	0.11	64
RNF41	0.1512	0.2329	0.255	0.196	0.1206	0.138	35.59	0.01	10.89	0.25	64
RNF44	0.5294	0.002625	0.00351	0.6209	0.000251	0.000402	27.75	0.08	16.28	0.55	30
RNF5	0.4657	0.0001053	0.000166	0.4769	6.781e-05	0.000117	145.53	-0.03	50.32	0.26	64
RNF6	0.268	0.03226	0.0388	0.188	0.1369	0.156	73.07	-0.08	17.9	0.27	64
RNF7	0.0654	0.6076	0.631	0.0234	0.8547	0.867	34.61	0.15	8.22	0.19	64
RNF8	0.465	0.0001082	0.00017	0.4276	0.0004245	0.000661	16.03	-0.07	4.76	0.26	64
RNFT1	0.1881	0.1366	0.154	0.2257	0.07289	0.0857	13.43	0	5.06	0.33	64
RNFT2	0.5771	5.996e-07	1.25e-06	0.6456	8.445e-09	2.48e-08	10.51	-0.19	6.04	0.43	64
RNGTT	0.7226	1.57e-11	6.57e-11	0.7127	3.946e-11	1.57e-10	53.35	0.05	20.94	0.28	64
RNH1	0.36	0.00348	0.0046	0.2525	0.04415	0.0534	19.06	0.12	9.04	0.25	64
RNMT	0.7367	3.937e-12	1.82e-11	0.7096	5.231e-11	2.04e-10	50.68	0.21	14.11	0.24	64
RNPC3	0.2985	0.01658	0.0205	0.3086	0.0131	0.0169	22.26	0.11	10.42	0.13	64
RNPEP	0.7343	5.031e-12	2.27e-11	0.6768	8.296e-10	2.79e-09	57.71	0.13	18.97	0.4	64
RNPEPL1	0.4305	0.0003844	0.000566	0.3512	0.00443	0.00603	11.02	-0.03	4.9	0.28	64
RNPS1	0.3374	0.00641	0.00824	0.2809	0.02455	0.0306	63.05	0.04	19.52	0.09	64
RO60	0.4039	0.0009345	0.00131	0.4041	0.0009286	0.00138	76.55	0.08	26.82	0.22	64
ROBO1	0.8022	1.625e-15	1.4e-14	0.5065	1.954e-05	3.62e-05	18.44	-0.12	52.06	0.97	64
ROCK1	0.6747	9.746e-10	3e-09	0.5865	3.524e-07	8.3e-07	75.53	0.1	31.77	0.3	64
ROCK2	0.7149	3.24e-11	1.28e-10	0.7316	6.583e-12	2.92e-11	41.83	0.1	18.02	0.24	64
ROGDI	0.3486	0.004758	0.0062	0.3267	0.00842	0.0111	4.48	0.19	2.45	0.39	64
ROMO1	-0.1237	0.3303	0.355	-0.1291	0.3094	0.336	86.62	0.37	37.71	0.56	64
ROPN1L	0.694	0.0002399	0.000362	0.5861	0.003292	0.00456	2	-0.15	3.79	0.69	23
ROR1	0.7937	5.179e-15	4.11e-14	0.8336	1.246e-17	1.19e-16	9.79	-0.45	16.99	1.27	64
RORA	0.6814	9.117e-05	0.000145	0.4292	0.02547	0.0317	3.66	0.17	6.67	0.63	27
RORB	0.8241	6.036e-17	7.24e-16	0.8413	3.258e-18	3.42e-17	22.2	0.05	34.14	1.19	64
RORC	0.9282	3.653e-16	3.65e-15	0.6065	8.827e-05	0.00015	2.62	0.16	7.31	1.02	36
RP2	0.6564	3.879e-09	1.11e-08	0.6525	5.17e-09	1.56e-08	44.98	0.15	15.56	0.36	64
RP9	0.6713	1.275e-09	3.86e-09	0.6033	1.322e-07	3.29e-07	20.17	-0.03	5.6	0.23	64
RPA1	0.3912	0.001393	0.00192	0.407	0.000845	0.00126	72.94	0.11	24.69	0.2	64
RPA2	0.5413	3.86e-06	7.26e-06	0.4974	2.898e-05	5.24e-05	146.01	0.02	52.86	0.18	64
RPA3	0.0903	0.4778	0.505	0.0289	0.8207	0.835	46.74	0.04	25.76	0.19	64
RPAIN	0.6311	2.266e-08	5.82e-08	0.6062	1.107e-07	2.78e-07	33.87	0.16	13.39	0.41	64
RPAP1	0.665	2.061e-09	6.08e-09	0.6306	2.345e-08	6.44e-08	19.48	0.05	6.13	0.21	64
RPAP2	0.1618	0.2014	0.222	0.095	0.4552	0.483	13.99	0.03	7.52	0.21	64
RPAP3	0.6326	2.057e-08	5.3e-08	0.5816	4.649e-07	1.08e-06	41.84	0.02	14.72	0.18	64
RPE	0.4843	5.014e-05	8.22e-05	0.4907	3.854e-05	6.86e-05	86.14	0.1	23.66	0.2	64
RPF1	0.3462	0.005071	0.00659	0.2753	0.0277	0.0344	74.29	-0.05	29.17	0.23	64
RPF2	0.4365	0.0003108	0.000462	0.4335	0.0003462	0.000545	40.84	-0.05	15.48	0.25	64
RPGR	0.7612	2.876e-13	1.63e-12	0.7178	2.47e-11	1.01e-10	8.52	0.13	4.57	0.33	64
RPGRIP1L	0.6139	6.883e-08	1.65e-07	0.5285	7.152e-06	1.41e-05	8.46	-0.06	4.88	0.29	64
RPIA	0.7931	5.608e-15	4.43e-14	0.774	6.364e-14	3.7e-13	46.64	0.08	21.82	0.28	64
RPL10	0.0025	0.9842	0.987	-0.0151	0.906	0.915	1148.8	-0.03	466.25	0.14	64
RPL10A	0.5404	4.039e-06	7.58e-06	0.419	0.0005681	0.00087	1716.4	-0.02	771.85	0.14	64
RPL11	0.4004	0.001045	0.00146	0.2518	0.04474	0.0541	1400.83	-0.03	545.56	0.15	64
RPL12	0.4269	0.0004355	0.000637	0.3278	0.00819	0.0108	1158.06	-0.04	486.78	0.13	64
RPL13	0.2594	0.03845	0.0458	0.1821	0.1497	0.169	490.54	-0.02	183.21	0.16	64
RPL13A	0.2869	0.02153	0.0263	0.1767	0.1625	0.183	2331.35	-0.04	873.87	0.15	64
RPL14	0.3993	0.00108	0.00151	0.3098	0.01275	0.0165	262.04	0.02	116.39	0.15	64
RPL15	0.2743	0.0283	0.0342	0.2447	0.05129	0.0615	439.72	-0.01	125.17	0.16	64
RPL18	0.2985	0.0166	0.0205	0.2952	0.01788	0.0227	395.48	-0.02	137.88	0.14	64
RPL18A	0.2229	0.07662	0.0885	0.1496	0.2379	0.262	456.8	0.07	220.41	0.14	64
RPL19	0.2612	0.03711	0.0443	0.2975	0.01696	0.0216	2632.6	-0.07	803.2	0.17	64
RPL21	0.1608	0.2042	0.225	0.2103	0.09532	0.111	1338.22	-0.03	885.16	0.17	64
RPL22	0.0777	0.5417	0.568	0.0733	0.5651	0.592	127.56	-0.04	52.06	0.14	64
RPL22L1	0.5739	7.133e-07	1.47e-06	0.5707	8.472e-07	1.89e-06	91.67	-0.79	77.9	0.93	64
RPL23	0.2751	0.0278	0.0336	0.1745	0.168	0.189	549.92	-0.03	191.98	0.15	64
RPL23A	0.5435	3.467e-06	6.56e-06	0.4253	0.00046	0.000712	1246.51	-0.04	544.54	0.16	64
RPL24	0.5404	4.034e-06	7.57e-06	0.4503	0.000189	0.000308	760.54	0.02	327.72	0.15	64
RPL26	0.097	0.4458	0.472	0.0153	0.9042	0.913	102.95	0.03	46.88	0.36	64
RPL26L1	0.47	0.0005738	0.000826	0.4374	0.001491	0.00216	46.96	0.12	19.77	0.58	50
RPL27	0.3735	0.002366	0.00318	0.2646	0.03461	0.0424	659.13	-0.04	308.11	0.16	64
RPL27A	0.3121	0.01206	0.0151	0.1966	0.1194	0.137	336.46	0	118.8	0.16	64
RPL28	0.14	0.2698	0.293	0.0767	0.5469	0.574	101.26	-0.01	31.75	0.16	64
RPL29	0.3992	0.001084	0.00151	0.4021	0.0009889	0.00147	726.35	-0.02	271.21	0.17	64
RPL3	0.3924	0.001339	0.00184	0.2567	0.04058	0.0493	919.3	-0.03	323.66	0.15	64
RPL30	0.4731	7.891e-05	0.000126	0.3078	0.01336	0.0172	684.73	0	352.98	0.15	64
RPL31	0.2868	0.02156	0.0264	0.2103	0.09525	0.11	423.97	-0.05	163.99	0.17	64
RPL32	0.2928	0.01887	0.0232	0.2189	0.08229	0.0961	860.24	0.1	365.86	0.15	64
RPL34	0.2123	0.09209	0.105	0.1976	0.1175	0.135	454.27	0.01	172.21	0.18	64
RPL35	0.3628	0.00322	0.00427	0.2929	0.01881	0.0238	877.91	-0.04	351.43	0.17	64
RPL35A	0.3612	0.00336	0.00445	0.2815	0.02426	0.0303	547.15	0.01	270.93	0.15	64
RPL36	0.3795	0.001984	0.00269	0.3987	0.001101	0.00162	286.2	-0.05	113.81	0.16	64
RPL36AL	0.2491	0.04714	0.0557	0.2392	0.05692	0.0678	533.2	0	177.4	0.2	64
RPL37	0.2294	0.06818	0.0791	0.1354	0.2859	0.312	315	0.07	121.46	0.18	64
RPL37A	0.4517	0.0001794	0.000275	0.3129	0.01182	0.0153	495.87	0.02	263.14	0.19	64
RPL38	0.3759	0.002207	0.00297	0.4103	0.0007602	0.00114	277.87	-0.02	91.52	0.16	64
RPL3L	0.0865	0.5547	0.58	0.1996	0.1691	0.19	0.27	-0.02	0.4	0.15	49
RPL4	0.4174	0.0005995	0.000861	0.3532	0.004204	0.00574	1406.11	-0.03	542.23	0.16	64
RPL5	0.4852	4.826e-05	7.92e-05	0.4051	0.0008977	0.00134	994.87	-0.04	394.78	0.15	64
RPL7	0.545	3.22e-06	6.11e-06	0.4417	0.0002587	0.000414	1853.46	-0.03	1150.6	0.13	64
RPL7A	0.5165	1.246e-05	2.19e-05	0.394	0.001274	0.00186	2552.37	0.02	1070.57	0.14	64
RPL7L1	0.5808	4.867e-07	1.03e-06	0.4478	0.0002074	0.000336	119.99	-0.06	35.82	0.19	64
RPL8	0.3933	0.001306	0.0018	0.2943	0.01826	0.0232	849.76	-0.02	372.25	0.15	64
RPL9	0.1726	0.1726	0.192	0.0753	0.5544	0.581	643.37	-0.04	268.6	0.15	64
RPLP0	0.3508	0.004479	0.00585	0.2629	0.03582	0.0438	2212.78	-0.03	1052.05	0.14	64
RPLP1	0.0692	0.587	0.612	0.0583	0.6471	0.67	338.96	-0.03	162.94	0.24	64
RPLP2	0.0021	0.9871	0.989	-0.0352	0.7827	0.8	804.24	-0.06	286	0.18	64
RPN1	0.4524	0.0001747	0.000268	0.4544	0.0001621	0.000266	204.25	0.06	53.12	0.16	64
RPN2	0.2313	0.06587	0.0766	0.3456	0.005156	0.00697	362.92	0.1	108.35	0.18	64
RPP14	0.208	0.09909	0.113	0.214	0.08945	0.104	10.73	0.19	2.86	0.25	64
RPP21	0.1667	0.2473	0.27	0.2102	0.1428	0.162	2.01	0.11	0.84	0.27	50
RPP25	0.6744	5.755e-08	1.4e-07	0.8046	1.126e-12	5.56e-12	3.25	-0.54	7.76	0.94	51
RPP25L	0.2758	0.02737	0.0331	0.272	0.0297	0.0367	36.01	0.06	11.39	0.19	64
RPP30	0.22	0.0807	0.0929	0.1871	0.1387	0.158	37.44	0.05	11.86	0.18	64
RPP38	0.2008	0.1116	0.126	0.1671	0.1869	0.209	25.99	0.04	6.73	0.15	64
RPP40	0.6469	7.664e-09	2.1e-08	0.5919	2.582e-07	6.19e-07	18.88	0.09	9.73	0.23	64
RPRD1A	0.7413	2.47e-12	1.18e-11	0.7318	6.465e-12	2.87e-11	46.89	0.14	15.55	0.29	64
RPRD1B	0.5941	2.274e-07	5.05e-07	0.6586	3.31e-09	1.02e-08	32.74	0.06	9.42	0.22	64
RPRD2	0.454	0.0001644	0.000253	0.4662	0.0001035	0.000174	35.79	0.04	12.38	0.13	64
RPS10	0.1306	0.3038	0.328	0.1226	0.3344	0.362	14.55	-0.01	5.49	0.16	64
RPS11	0.1972	0.1182	0.134	0.1275	0.3155	0.343	3301.38	0.01	1224.36	0.14	64
RPS12	0.2933	0.01867	0.023	0.1747	0.1673	0.188	4547.2	0	1879.31	0.13	64
RPS13	0.3761	0.002195	0.00296	0.2395	0.05662	0.0675	830.96	-0.03	325.04	0.15	64
RPS14	0.3518	0.004362	0.0057	0.2358	0.06068	0.072	510.77	-0.07	231.78	0.13	64
RPS15	0.1742	0.1686	0.188	0.1307	0.3032	0.33	362.98	-0.07	150.46	0.21	64
RPS15A	0.046	0.7184	0.737	-0.0838	0.5101	0.537	194.87	-0.1	89.15	0.15	64
RPS16	-0.0095	0.9404	0.947	0.0573	0.653	0.676	141.51	0.03	63.28	0.15	64
RPS18	0.3628	0.003215	0.00426	0.2503	0.04605	0.0555	2673.84	-0.04	1455.88	0.16	64
RPS19	-0.0736	0.5631	0.589	0.0348	0.7849	0.802	600.99	-0.05	227.88	0.15	64
RPS19BP1	0.0965	0.4482	0.475	0.1453	0.252	0.277	24.89	-0.03	6.41	0.19	64
RPS2	0.503	2.277e-05	3.87e-05	0.4091	0.0007903	0.00119	1289.13	-0.01	517.26	0.15	64
RPS20	0.2506	0.04577	0.0541	0.1847	0.144	0.163	893.82	-0.04	282.1	0.13	64
RPS21	0.2324	0.06457	0.0751	0.2077	0.09952	0.115	597.89	-0.03	315.6	0.14	64
RPS23	0.1842	0.1451	0.163	0.1742	0.1686	0.19	980.35	0.01	402.66	0.16	64
RPS24	0.2453	0.05075	0.0598	0.1223	0.3359	0.363	496.02	0	190.62	0.16	64
RPS25	0.3134	0.01169	0.0146	0.312	0.01208	0.0157	1361.58	-0.04	532.19	0.17	64
RPS26	0.0458	0.7196	0.738	0.0061	0.9616	0.966	359.81	0.02	225.3	0.18	64
RPS27	0.179	0.1569	0.175	0.0052	0.9673	0.971	3625.41	-0.11	1912.81	0.19	64
RPS27A	0.2621	0.03645	0.0435	0.168	0.1844	0.206	917.48	-0.04	449.13	0.16	64
RPS27L	0.6487	6.774e-09	1.88e-08	0.7348	4.762e-12	2.15e-11	17.35	-0.04	9.97	0.36	64
RPS28	0.0909	0.475	0.502	0.0934	0.4629	0.49	208.79	-0.07	93.71	0.16	64
RPS29	-0.061	0.6322	0.655	-0.0423	0.7402	0.759	83.74	-0.09	47.21	0.29	64
RPS3	0.3691	0.002685	0.00358	0.2843	0.0228	0.0286	665.04	-0.02	296.78	0.15	64
RPS3A	0.2727	0.02927	0.0353	0.182	0.1501	0.17	2856.57	-0.04	1278.69	0.14	64
RPS4X	0.2735	0.02877	0.0347	0.2863	0.02181	0.0274	2002.11	-0.04	930.59	0.17	64
RPS4Y1	0.8774	1.92e-21	9.07e-20	0.839	4.9e-18	5e-17	168.14	-0.4	218.83	1.11	64
RPS5	0.3712	0.002529	0.00339	0.3554	0.003958	0.00542	539.67	0.01	243.01	0.15	64
RPS6	0.4478	0.0002068	0.000315	0.4115	0.00073	0.0011	2571	-0.02	1194.52	0.16	64
RPS6KA1	0.7708	9.335e-14	5.8e-13	0.7591	3.643e-13	1.92e-12	61.47	0.12	25.42	0.45	64
RPS6KA2	0.7303	2.281e-05	3.87e-05	0.478	0.01351	0.0174	3.03	0.07	3	0.84	26
RPS6KA3	0.8591	1.069e-19	2.76e-18	0.8637	4.142e-20	6.15e-19	54.81	0.02	30.51	0.42	64
RPS6KA4	0.7899	8.592e-15	6.54e-14	0.7462	1.486e-12	7.22e-12	27.3	0.02	12.99	0.44	64
RPS6KA5	0.7732	7.007e-14	4.44e-13	0.8455	1.512e-18	1.69e-17	4.2	-0.02	5.24	0.58	64
RPS6KB1	0.3295	0.007842	0.00999	0.2653	0.03412	0.0418	37.5	0.03	9.39	0.17	64
RPS6KB2	0.536	5.003e-06	9.28e-06	0.5518	2.284e-06	4.8e-06	25.11	0.03	6.67	0.22	64
RPS6KC1	0.6562	3.935e-09	1.12e-08	0.5611	1.414e-06	3.07e-06	13.06	-0.04	5.84	0.25	64
RPS7	0.5976	1.854e-07	4.17e-07	0.5071	1.905e-05	3.53e-05	567.1	-0.03	250.68	0.15	64
RPS8	0.1057	0.4059	0.432	0.0625	0.6237	0.648	1704.32	-0.04	756.21	0.16	64
RPS9	0.3881	0.001532	0.0021	0.2691	0.03151	0.0388	305.36	-0.02	105.87	0.17	64
RPSA	0.3563	0.003852	0.00507	0.3024	0.01516	0.0194	1165.97	-0.02	531.27	0.13	64
RPTOR	0.3523	0.004299	0.00563	0.3783	0.002055	0.00292	21.93	0.07	9.07	0.19	64
RPUSD1	0.2767	0.02686	0.0325	0.247	0.04908	0.0589	17.73	0.06	8.87	0.33	64
RPUSD2	0.505	2.083e-05	3.56e-05	0.5061	1.988e-05	3.68e-05	26.34	-0.03	9.85	0.21	64
RPUSD3	0.6734	1.079e-09	3.3e-09	0.6296	2.506e-08	6.86e-08	22.91	0.03	7.55	0.36	64
RPUSD4	0.4704	8.778e-05	0.00014	0.452	0.0001775	0.00029	37.71	-0.1	10.86	0.3	64
RRAGA	0.2895	0.02035	0.0249	0.2958	0.01762	0.0224	51.53	0.14	19.58	0.28	64
RRAGB	0.7915	7e-15	5.44e-14	0.7944	4.755e-15	3.18e-14	21.66	-0.02	13.72	0.84	64
RRAGC	0.6919	2.426e-10	8.25e-10	0.5448	3.247e-06	6.67e-06	5.49	0.2	2.9	0.32	64
RRAGD	0.5951	2.142e-07	4.77e-07	0.6917	2.47e-10	8.87e-10	44.84	0.13	50.44	0.49	64
RRAS	0.8246	5.599e-17	6.79e-16	0.7739	6.435e-14	3.73e-13	4.98	0.17	4.04	0.65	64
RRAS2	0.9006	4.129e-24	5.35e-22	0.9484	1.29e-32	6.6e-30	21.43	-0.12	22.22	0.73	64
RRBP1	0.8657	2.67e-20	8.34e-19	0.8338	1.214e-17	1.16e-16	32.1	-0.21	17.79	0.48	64
RREB1	0.6229	3.878e-08	9.64e-08	0.6592	3.179e-09	9.86e-09	17.5	0.12	10.57	0.28	64
RRM1	0.5745	6.9e-07	1.43e-06	0.601	1.513e-07	3.75e-07	255.94	-0.05	118.12	0.27	64
RRM2	0.6539	4.653e-09	1.31e-08	0.7011	1.106e-10	4.14e-10	108.85	-0.04	79.53	0.36	64
RRM2B	0.7734	6.877e-14	4.37e-13	0.6665	1.832e-09	5.87e-09	34.68	-0.04	15.16	0.46	64
RRN3	0.3674	0.002824	0.00376	0.3557	0.003923	0.00538	87.21	-0.06	21.1	0.27	64
RRNAD1	0.1649	0.2679	0.291	0.1947	0.1896	0.211	15.41	-0.09	5.47	0.33	47
RRP1	0.732	6.293e-12	2.81e-11	0.5731	7.463e-07	1.68e-06	39.37	-0.09	13.36	0.28	64
RRP12	0.5613	1.404e-06	2.79e-06	0.5957	2.074e-07	5.04e-07	20.39	0	7.56	0.26	64
RRP15	0.5485	2.702e-06	5.18e-06	0.4543	0.000163	0.000268	19.14	-0.04	9.74	0.26	64
RRP1B	0.6834	4.911e-10	1.59e-09	0.6065	1.083e-07	2.73e-07	93.49	-0.05	32.63	0.26	64
RRP36	0.5635	1.25e-06	2.5e-06	0.4712	8.5e-05	0.000145	75.16	-0.16	26.38	0.3	64
RRP7A	0.4297	0.0003949	0.000581	0.4509	0.0001849	0.000301	66.91	-0.09	23.93	0.25	64
RRP8	0.2532	0.04356	0.0516	0.2478	0.04835	0.0581	21.81	0.01	5.06	0.18	64
RRP9	0.6126	7.47e-08	1.78e-07	0.5387	4.392e-06	8.89e-06	60.23	-0.02	22.82	0.19	64
RRS1	0.5277	7.444e-06	1.35e-05	0.5341	5.483e-06	1.1e-05	17.61	-0.08	6.93	0.25	64
RSAD1	0.6999	1.228e-10	4.39e-10	0.5848	3.89e-07	9.1e-07	31.72	0.06	9.62	0.38	64
RSAD2	0.885	4.043e-10	1.32e-09	0.6141	0.0005085	0.000783	17.71	-0.07	37.56	1.07	28
RSBN1	0.5515	2.321e-06	4.49e-06	0.6286	2.671e-08	7.26e-08	48.58	0.2	19.8	0.22	64
RSBN1L	0.6422	1.066e-08	2.86e-08	0.6182	5.248e-08	1.38e-07	47.1	0.08	15.24	0.19	64
RSF1	0.3818	0.00185	0.00252	0.5046	2.119e-05	3.9e-05	20.65	0.05	8.79	0.31	64
